Main.KneeSimulatorStudy.t Main.KneeSimulatorStudy.Outputs.Forces_Ratios.KneeFlexion Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Quadriceps_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Tendon_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_PatelloFemoral_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_LateralCondyle_Compression_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_MedialCondyle_Compression_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_LateralCondyle_Total_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_MedialCondyle_Total_Ratio_BW
6.666666666666666e-01 4.750000000000001e+01 3.969501502261680e+00 3.471698432693693e+00 1.586069731566079e+01 1.571702101604424e+01 2.567684110592617e+01 1.617015684436030e+01 2.591697761181438e+01
7.000000000000000e-01 4.272542485937370e+01 4.381602721722447e+00 3.882815143214543e+00 1.605194482032306e+01 1.649224845764719e+01 2.580868901595581e+01 1.694038214033672e+01 2.603626759465597e+01
7.333333333333333e-01 3.761321158169136e+01 4.546435696521171e+00 4.315303288190504e+00 1.623806440964736e+01 1.725167517936818e+01 2.602919328958736e+01 1.769719351529986e+01 2.624519561965511e+01
7.666666666666667e-01 3.238678841830867e+01 4.908570376738561e+00 4.675074592082275e+00 1.626843020509906e+01 1.802722769091805e+01 2.618311437631379e+01 1.847449688299421e+01 2.639022402557769e+01
8.000000000000000e-01 2.727457514062632e+01 5.208584984283848e+00 4.965831620266991e+00 1.615423713274211e+01 1.876371629120395e+01 2.630248430790910e+01 1.921768247576177e+01 2.650306937015919e+01
8.333333333333334e-01 2.249999999999999e+01 5.632890732690168e+00 5.359676426591768e+00 1.606246009908475e+01 1.949305667536729e+01 2.649999005272963e+01 1.994961850531766e+01 2.669343749123948e+01
8.666666666666667e-01 1.827173484102856e+01 6.155264440122740e+00 5.821633783899369e+00 1.598776995214683e+01 2.020076403479669e+01 2.675742818601969e+01 2.066043184006991e+01 2.693732590669246e+01
9.000000000000000e-01 1.477457514062630e+01 6.694223700699643e+00 6.261099482302461e+00 1.590070866639560e+01 2.081264238540937e+01 2.702320271627875e+01 2.127536954801520e+01 2.719280871596508e+01
9.333333333333333e-01 1.216136355893498e+01 7.195217829480470e+00 6.637175223938616e+00 1.582302483622933e+01 2.129078009647965e+01 2.727109577437126e+01 2.175516694762132e+01 2.743033950208635e+01
9.666666666666667e-01 1.054630998165486e+01 7.559155087143400e+00 6.898170594912639e+00 1.576894327990835e+01 2.159701961770848e+01 2.745183576765126e+01 2.206248557679819e+01 2.760425802591561e+01
1.000000000000000e+00 9.999999999999998e+00 7.685359347622778e+00 6.991853169756071e+00 1.574816976015451e+01 2.170418335469858e+01 2.751721421659872e+01 2.217055993398257e+01 2.766784829375735e+01
